Witkopeend	Oxyura leucocephala
Knobbelzwaan	Cygnus olor
Kleine Zwaan	Cygnus bewickii
Wilde Zwaan	Cygnus cygnus
Witbuikrotgans	Branta hrota
Rotgans	Branta bernicla
Zwarte Rotgans	Branta nigricans
Roodhalsgans	Branta ruficollis
Brandgans	Branta leucopsis
Kleine Canadese Gans	Branta hutchinsii
Sneeuwgans	Anser caerulescens
Ross' Gans	Anser rossii
Grauwe Gans	Anser anser
Taigarietgans	Anser fabalis
Toendrarietgans	Anser serrirostris
Kleine Rietgans	Anser brachyrhynchus
Kolgans	Anser albifrons
Dwerggans	Anser erythropus
IJseend	Clangula hyemalis
Koningseider	Somateria spectabilis
Eider	Somateria mollissima
Stellers Eider	Polysticta stelleri
Brilzee-eend	Melanitta perspicillata
Grote Zee-eend	Melanitta fusca
Zwarte Zee-eend	Melanitta nigra
Amerikaanse Zee-eend	Melanitta americana
Buffelkopeend	Bucephala albeola
Brilduiker	Bucephala clangula
Nonnetje	Mergellus albellus
Kokardezaagbek	Lophodytes cucullatus
Grote Zaagbek	Mergus merganser
Middelste Zaagbek	Mergus serrator
Harlekijneend	Histrionicus histrionicus
Bergeend	Tadorna tadorna
Casarca	Tadorna ferruginea
Marmereend	Marmaronetta angustirostris
Krooneend	Netta rufina
Tafeleend	Aythya ferina
Amerikaanse Tafeleend	Aythya americana
Witoogeend	Aythya nyroca
Ringsnaveleend	Aythya collaris
Kuifeend	Aythya fuligula
Topper	Aythya marila
Kleine Topper	Aythya affinis
Zomertaling	Spatula querquedula
Slobeend	Spatula clypeata
Blauwvleugeltaling	Spatula discors
Siberische Taling	Sibrionetta formosa
Bronskopeend	Mareca falcata
Krakeend	Mareca strepera
Smient	Mareca penelope
Amerikaanse Smient	Mareca americana
Wilde Eend	Anas platyrhynchos
Pijlstaart	Anas acuta
Wintertaling	Anas crecca
Amerikaanse Wintertaling	Anas carolinensis
Kwartel	Coturnix coturnix
Korhoen	Tetrao tetrix
Patrijs	Perdix perdix
Flamingo	Phoenicopterus roseus
Dikbekfuut	Podilymbus podiceps
Dodaars	Tachybaptus ruficollis
Roodhalsfuut	Podiceps grisegena
Fuut	Podiceps cristatus
Kuifduiker	Podiceps auritus
Geoorde Fuut	Podiceps nigricollis
Holenduif	Columba oenas
Houtduif	Columba palumbus
Zomertortel	Streptopelia turtur
Oosterse Tortel	Streptopelia orientalis
Turkse Tortel	Streptopelia decaocto
Steppehoen	Syrrhaptes paradoxus
Nachtzwaluw	Caprimulgus europaeus
Stekelstaartgierzwaluw	Hirundapus caudacutus
Alpengierzwaluw	Tachymarptis melba
Siberische Gierzwaluw	Apus pacificus
Huisgierzwaluw	Apus affinis
Vale Gierzwaluw	Apus pallidus
Gierzwaluw	Apus apus
Kuifkoekoek	Clamator glandarius
Koekoek	Cuculus canorus
Waterral	Rallus aquaticus
Kwartelkoning	Crex crex
Porseleinhoen	Porzana porzana
Klein Waterhoen	Zapornia parva
Kleinst Waterhoen	Zapornia pusilla
Waterhoen	Gallinula chloropus
Meerkoet	Fulica atra
Canadese Kraanvogel	Antigone canadensis
Jufferkraanvogel	Grus virgo
Kraanvogel	Grus grus
Kleine Trap	Tetrax tetrax
Grote Trap	Otis tarda
Oostelijke Kraagtrap	Chlamydotis macqueenii
Roodkeelduiker	Gavia stellata
Parelduiker	Gavia arctica
IJsduiker	Gavia immer
Geelsnavelduiker	Gavia adamsii
Wilsons Stormvogeltje	Oceanites oceanicus
Bont Stormvogeltje	Pelagodroma marina
Stormvogeltje	Hydrobates pelagicus
Vaal Stormvogeltje	Hydrobates leucorhous
Noordse Stormvogel	Fulmarus glacialis
Kuhls Pijlstormvogel	Calonectris borealis
Grauwe Pijlstormvogel	Ardenna grisea
Grote Pijlstormvogel	Ardenna gravis
Noordse Pijlstormvogel	Puffinus puffinus
Vale Pijlstormvogel	Puffinus mauretanicus
Zwarte Ooievaar	Ciconia nigra
Ooievaar	Ciconia ciconia
Roze Pelikaan	Pelecanus onocrotalus
Kroeskoppelikaan	Pelecanus crispus
Roerdomp	Botaurus stellaris
Woudaap	Ixobrychus minutus
Kwak	Nycticorax nycticorax
Groene Reiger	Butorides virescens
Ralreiger	Ardeola ralloides
Koereiger	Bubulcus ibis
Blauwe Reiger	Ardea cinerea
Purperreiger	Ardea purpurea
Grote Zilverreiger	Ardea alba
Kleine Zilverreiger	Egretta garzetta
Lepelaar	Platalea leucorodia
Zwarte Ibis	Plegadis falcinellus
Jan-van-gent	Morus bassanus
Bruine Gent	Sula leucogaster
Dwergaalscholver	Microcarbo pygmaeus
Kuifaalscholver	Phalacrocorax aristotelis
Aalscholver	Phalacrocorax carbo
Griel	Burhinus oedicnemus
Scholekster	Haematopus ostralegus
Steltkluut	Himantopus himantopus
Kluut	Recurvirostra avosetta
Zilverplevier	Pluvialis squatarola
Goudplevier	Pluvialis apricaria
Amerikaanse Goudplevier	Pluvialis dominica
Aziatische Goudplevier	Pluvialis fulva
Morinelplevier	Charadrius morinellus
Killdeerplevier	Charadrius vociferus
Bontbekplevier	Charadrius hiaticula
Kleine Plevier	Charadrius dubius
Grijskopkievit	Vanellus cinereus
Indische Kievit	Vanellus indicus
Steppekievit	Vanellus gregarius
Witstaartkievit	Vanellus leucurus
Kievit	Vanellus vanellus
Kaspische Plevier	Anarhynchus asiaticus
Steppeplevier	Anarhynchus veredus
Woestijnplevier	Anarhynchus leschenaultii
Strandplevier	Anarhynchus alexandrinus
Bartrams Ruiter	Bartramia longicauda
Kleine Regenwulp	Numenius minutus
Regenwulp	Numenius phaeopus
Dunbekwulp	Numenius tenuirostris
Wulp	Numenius arquata
Grutto	Limosa limosa
Rosse Grutto	Limosa lapponica
Steenloper	Arenaria interpres
